,Média,Desvio Padrão,Limite inferior,Limite Superior
zeroR,0.3333333333333334,1.1102230246251565e-16,0.33333333333333337,0.3333333333333335
oneR,0.9288888888888889,0.06425258797689314,0.9058968180635032,0.9518809597142746
naiveBayes,0.9555555555555556,0.046613726585340055,0.938875354230891,0.9722357568802202
random,0.3422222222222223,0.11512741197323219,0.3010251639654584,0.3834192804789862
stratifiedRandom,0.31555555555555553,0.11792443699041422,0.27335761314267715,0.3577534979684339
zeroR,0.3993464052287583,0.024707265583576204,0.3905051862508785,0.4081876242066381
oneR,0.6459694989106753,0.10618764097040226,0.6079714378387986,0.6839675599825521
naiveBayes,0.975599128540305,0.03451010651041393,0.9632500724468074,0.9879481846338025
random,0.3569716775599127,0.12410467467963777,0.3125622061309665,0.4013811489888589
stratifiedRandom,0.3277777777777778,0.12470692714104478,0.2831527970334339,0.3724027585221217
zeroR,0.6274122807017544,0.006965956216784448,0.6249195910880622,0.6299049703154466
oneR,0.5859022556390977,0.07435922407207389,0.5592936379908764,0.612510873287319
naiveBayes,0.933187134502924,0.036977765473995984,0.91995505421616,0.946419214789688
random,0.5073621553884711,0.061535327176384005,0.48534242598532995,0.5293818847916122
stratifiedRandom,0.5237050960735171,0.06112675542426258,0.5018315695076128,0.5455786226394215
zeroR,0.10128491620111733,0.0024357798163789517,0.1004132996045474,0.10215653279768727
oneR,0.1129671011793917,0.025339418118950536,0.10389967347866635,0.12203452888011704
naiveBayes,0.785373474032692,0.03635280512103022,0.7723650288266443,0.7983819192387397
random,0.10332712600869026,0.024633919111820626,0.09451215324635594,0.11214209877102459
stratifiedRandom,0.09830229671011793,0.021934657290275238,0.09045322463647727,0.1061513687837586
